Pesticides Name,Symptoms,Cronical Diseases
Thiamethox am 25 WG,"Skin irritation, headaches, nausea.",Moderate toxicity; potential effects on reproduction.
"Indoxacarb
 14.5 SC","Skin irritation, dizziness, headaches.",Low toxicity; potential neurotoxic effects.
Sulfosulfuro n 75% WDG,"Skin irritation, nausea.",Low toxicity; potential reproductive effects.
Imidaclopri d 17.8 SL,"Skin irritation, headaches, dizziness.",Moderate toxicity; potential neurotoxic effects.
Carbendazi m ( 50% WP ),"Skin irritation, nausea.",Potential reproductive and developmental toxicity; low systemic toxicity.
Pendimethil in 30 EC,"Skin irritation, gastrointestinal upset",low toxicity; potential reproductive effects.
"Diafenthiur on 50 %
 WP 9(4)","Skin irritation, respiratory issues.",Moderate toxicity; potential long-term effects.
Cartap Hydrochlori de ( 4% GR),"Nausea, vomiting, dizziness.",Moderate toxicity; may affect the nervous system.
Imidaclopri d 30.5 % SC 9(4),"skin irritation, dizziness.",Moderate toxicity; neurotoxic potential.
"Bifenthrin 10 % EC
 9(4)","Skin irritation, dizziness, respiratory issues.",Moderate toxicity; potential neurotoxic effects.
"Acephate 95% SG
 w/w","Skin irritation, nausea, headaches.",Moderate toxicity; potential effects on the nervous system.
ATRAZINE 50 % WP,"Skin irritation, nausea.",Potential endocrine disruptor; moderate toxicity
"Azoxystrobi n 18.2%
 w/w + Difenoconaz ole 11.4% w/w SC for indigenous manufactur e","Skin irritation, headaches.",Low toxicity; potential long-term effects
"Azoxystrobi n 23% SC
 for Indigenous manufactur e","Skin irritation, headaches.",Low toxicity; potential long-term effects
"BIFENTHRIN 10 % EC
 w/w",Similar to previous Bifenthrin entry.,Moderate toxicity; potential neurotoxic effects
"Buprofezin 15%+
 Acephate15
 % WP For Indeginious Manufactur e","Skin irritation, nausea.",Moderate toxicity; potential reproductive effects.
"CAPTAN
 70% + HEXACONA ZOLE 5%,
 WP","Skin irritation, respiratory distress, nausea.",allergen; may cause reproductive toxicity.
"CARBENDAZ IM 12 % + MANCOZEB 63 %, WP","Headaches, nausea, skin rashes.",carcinogenic effects; liver damage with prolonged exposure.
CHLORPYRI PHOS 20 % EC,"Dizziness, nausea, headache, sweating.",Neurotoxic effects; potential endocrine disruptor.
"CHLORPYRI PHOS 50 %
 + CYPERMETH RIN 5%, EC",respiratory irritation.,neurotoxic risks due to combined chemicals.
EMAMECTI N BENZOATE 5 % SG,"Skin irritation, headaches.",neurotoxic effects; low acute toxicity
"ETHION 50
 % EC","Nausea, vomiting, diarrhea, respiratory issues.",Neurotoxic; may affect the liver.
"FIPRONIL
 0.3 % GR","Skin irritation, headaches, nausea.",Neurotoxic; potential reproductive toxicity.
"FIPRONIL 5
 % SC","Skin irritation, headaches, nausea.",Neurotoxic; potential reproductive toxicity.
IMIDACLOP RID 30.5 % SC,"Dizziness, nausea, skin irritation.",Neurotoxic effects; potential long-term impacts on health.
IMIDACLOP RID 70 % WG,"Dizziness, nausea, skin irritation.",Neurotoxic effects; potential long-term impacts on health.
"ISOPROTHI OLANE 40
 % EC","Nausea, vomiting, respiratory issues.",low toxicity; limited data on chronic effects.
LAMBDA- CYHALOTHR IN 4.9 % CS,"Skin irritation, headaches, nausea.",Neurotoxic; may cause reproductive effects.
LAMBDA- CYHALOTHR IN 5 % EC,"Skin irritation, headaches, nausea.",Neurotoxic; may cause reproductive effects.
METRIBUZI N 70 % WP,"Skin irritation, dizziness, headaches.",endocrine disruptor; low systemic toxicity.
"METSULFUR ON
 METHYL 20
 % WP","Skin irritation, respiratory issues.",low toxicity; potential for allergic reactions.
"PIROXOFOP PROPINYL 15 % WP
 Champion 160 Gms","Skin irritation, nausea.",Low toxicity; limited chronic effects.
PARAQUAT E DICHLORIDE 24 % SL,"Severe lung damage, nausea, vomiting, respiratory failure.",Highly toxic; can be fatal upon ingestion or high exposure.
PENDIMETH ALIN 30 % EC,"Skin irritation, nausea.",: Low toxicity; potential reproductive effects.
"PENDIMETH ALIN 38.7
 % CS","Skin irritation, nausea.",: Low toxicity; potential reproductive effects.
PROPICONA ZOLE 25 % EC,"Skin irritation, headaches.",Low toxicity; potential liver effects.
"Propiconazo
 le13.9%
 w/w+ Difenoconaz ole 13.9% w/w EC","Skin irritation, headaches.",Low toxicity; potential liver effects.
SULPHUR 80 % WDG,"Skin irritation, respiratory issues.",low toxicity; potential for allergic reactions.
"TEBUCONA ZOLE 25.9
 % EC","Skin irritation, headaches",Low toxicity; potential endocrine disruptor.
"Thiamethox am 12.6%+Lam
 bda- Cyhalothrin 9.5% ZC for indigenous manufactur e","Dizziness, nausea, skin irritation.",Neurotoxic potential; possible long-term effects.
THIOPHANA TE METHYL 70 % WP,"Skin irritation, nausea.",Low toxicity; potential for allergic reactions.
"TRIACONTA NOL 0.05
 % GR Min.","Dizziness, nausea, skin irritation.",Low toxicity; potential for allergic reactions.
VALIDAMYC IN 3 % L,"Gastrointestinal upset, skin irritation.",low toxicity; minimal chronic effects.
Metiram 70% WG,"Skin irritation, respiratory issues.",Low systemic toxicity; potential allergic reactions.
"Metiram 55% +
 Pyraclostrobi n 5% WG","Skin irritation, respiratory issues.",Low systemic toxicity; potential allergic reactions.
Pyraclostrobi n 20% WG,"Skin irritation, headaches.",Low toxicity; potential for allergic reactions.
Chlorfenapyr 10% SC,"Skin irritation, nausea, dizziness.",Moderate neurotoxic potential; possible chronic effects
Prohexadion e-Ca 10% WG,"Skin irritation, headaches.",low toxicity; minimal chronic data
"Boscalid 25.2% +
 Pyraclostrobi n 12.8% WG","Skin irritation, respiratory issues.",Low toxicity; potential allergic reactions.
Dimethomor ph 50% WP,"Skin irritation, nausea.",Low toxicity; minimal systemic effects.
"Imazamox 35% +
 Imazethapyr 35% WG","Skin irritation, nausea.",low toxicity; potential for allergic reactions.
"Ametroctradi n 27% +
 Dimethomor ph 20.27%
 w/w SC","Skin irritation, headaches, nausea.",low toxicity; potential allergic reactions.
Thiophanate- methyl 450 g/l + Pyraclostrobi n 50 g/l FS,"Skin irritation, respiratory distress, nausea.",reproductive toxicity; low systemic toxicity.
Metrafenone 500 g/l SC,"Skin irritation, headaches.",Low toxicity; limited chronic effects.
Imazethapyr 70% WG,"Skin irritation, gastrointestinal upset.",Low toxicity; possible long-term effects on reproductive health.
"Pyraclostrobi n 133 g/l + Epoxiconazol e 50g/l
 (W/V) SE","Skin irritation, respiratory issues.",low toxicity; potential for allergic reactions.
Topramezon e 336 g/l SC,"Skin irritation, dizziness.",Low systemic toxicity; limited data on chronic effects.
Fluxapyaroxa d 250 g/l + Pyraclostrobi n 250g/l SC,"Skin irritation, headaches.",Low toxicity; potential long-term effects.
Bentazone 480 g/l SL,"Skin irritation, gastrointestinal issues.",low toxicity; may cause eye irritation.
Pyraclostrobi n 100 g/l CS,"Skin irritation, nausea.",Low toxicity; potential for allergic reactions.
Dimethomor ph Technical,"Skin irritation, headaches.",Low toxicity; limited chronic data.
Pendimethali n Technical,"Skin irritation, nausea.",Generally low toxicity; potential reproductive effects.
Imazethapyr Technical,"Similar to formulated product; skin irritation, nausea.",Low toxicity; minimal chronic effects.
Fluxapyroxad 167g/l + Pyraclostrobi n 333 g/l SC,"Skin irritation, dizziness.",Low toxicity; potential long-term effects.
Pendimethali n 30%EC,"Skin irritation, gastrointestinal issues.",low toxicity; potential reproductive effects.
"Pendimethali n 30%+
 Imazethapyr 2% EC","Skin irritation, nausea.",Low toxicity; combined effects may amplify risk.
Chlorantranili prole 18.5% w/w SC,,
Fluxapyroxad 62.5g/l + Epoxiconazol e 62.5 g/l EC,"Skin irritation, headaches, dizziness.",Potential liver toxicity; minimal chronic data.
Afidopyrope n 50 g/l DC,"Nausea, vomiting, skin irritation.",neurotoxicity
Glufosinate Ammonium 13.5% w/w SL,"Respiratory irritation, nausea, headaches.",Possible neurotoxic effects; reproductive toxicity.
"Metiram 44% +
 Dimethomor ph 9% WG","Skin irritation, respiratory issues.",low toxicity; allergic reactions possible.
"Chlormequat Chloride
 50% SL","Skin irritation, gastrointestinal disturbances.",Low toxicity; endocrine disruption potential.
"Pendimethali n 30%EC +
 Imazethapyr 2% EC","Skin irritation, headaches, dizziness.",ow toxicity; potential reproductive effects.
Dimethpmor ph 50% WP,"Skin irritation, nausea",Low toxicity; minimal systemic effects.
"Atrazine 50
 % WP","Nausea, dizziness, skin irritation.",endocrine disruptor; long-term exposure risks.
Chlorantranili prole 18.5% SC,"Nausea, headaches, dizziness.",Neurotoxic potential; low systemic toxicity
"Chlorantranili prole 0.4%
 GR",mild skin irritation.,Low toxicity; potential for long-term exposure effects
Propaquizafo p 10% EC,"Skin irritation, nausea.",low toxicity; limited chronic data.
"Pyraclostrobi n 100gm/L
 CS","Skin irritation, dizziness, headaches.",Low systemic toxicity; possible liver effects.
FOSETYL-AL 80% WP,"Skin irritation, respiratory discomfort.",low toxicity; potential allergic reactions.
IMIDACLOPRI D 48.0% FS,"Nausea, dizziness, skin irritation.",Neurotoxic effects; potential long-term reproductive impacts.
PENCYCURO N 22.9% SC,"Skin irritation, respiratory issues.",Low toxicity; minimal chronic data.
"BROMADIOL ONE 0.005%
 R.B. Cake","Weakness, bleeding, gastrointestinal distress.",Anticoagulant; serious risk of bleeding
"Fenamidone 10% +
 Mancozeb 50% WDG","Skin irritation, respiratory issues.",low toxicity; limited chronic data.
Deltamethrin 11% W/W(EC),"Skin irritation, dizziness, headaches.",Neurotoxic effects; potential chronic exposure risks.
Deltamethrin 2.8% EC,skin irritation.,Low systemic toxicity; neurotoxic potential.
Tembotrione 34.4% W/W SC,"Skin irritation, nausea.",low toxicity; limited chronic data.
Cyfluthrin 5% EW,"Skin irritation, dizziness.",Neurotoxic; potential long-term exposure effects.
Cyfluthrin 10% WP,"Skin irritation, nausea.",neurotoxic potential.
Fenoxaprop- P-ethyl 6.7%,"Skin irritation, headaches.",Low systemic toxicity; potential for allergic reactions.
Deltamethrin 2% w/w EW,skin irritation.,Neurotoxic; potential chronic exposure risks.
OXADIARGYL 6% EC,"Skin irritation, nausea.",low toxicity; potential for allergic reactions.
"Mesosulfuro n-Methyl 3.0% +
 Iodosulfuron- Methyl- Sodium 0.6% WG","Skin irritation, nausea, headaches.",Low toxicity; potential for allergic reactions.
"Ethiprole 40% +
 Imidacloprid 40% WG","Dizziness, nausea, skin irritation.",Neurotoxic effects
"Iprovalicarb 5.5% +
 Propineb 61.25% WP","Skin irritation, respiratory issues.",low toxicity
"Tebuconazol e 50% +
 Trifloxystrobi n 25% WG","Skin irritation, headaches, dizziness.",liver damage; limited chronic toxicity data.
"Fipronil 40%
 +
 Imidacloprid 40% WG","Nausea, dizziness, skin irritation.",Neurotoxic; potential endocrine disruptor.
"Betacyfluthri n 8.49% +
 Imidacloprid 19.81%","Skin irritation, headaches, nausea.",Neurotoxic effects
Deltamethrin 2.5% WP,"Skin irritation, dizziness, headaches.",Neurotoxic;
Deltamethrin 1.25% ULV,Similar to other formulations; skin and eye irritation.,Neurotoxic
Deltamethrin 2.5% Flow,"Skin irritation, headaches.",Low systemic toxicity; neurotoxic potential.
Betacyfluthri n 2.45% SC,"Skin irritation, nausea.",Neurotoxic effects
Fipronil 0.03% GEL,"Skin irritation, dizziness.",: Low systemic toxicity
Imidacloprid 0.03% w/w GEL,"Mild skin irritation, dizziness.",Neurotoxic
Diflubenzuro n 25% WP,"Skin irritation, nausea",low toxicity
Imidacloprid 0.5% w/w RB,"Nausea, dizziness, skin irritation.",Neurotoxic effects
Tebuconazol e 5.36% w/w FS,"Skin irritation, respiratory issues.",Liver toxicity with chronic exposure
"Fluopicolide 4.44% +
 Fosetyl Aluminium 66.67% WG","Skin irritation, respiratory discomfort.",low toxicity
"Spirotetrama t 11.01%
 w/w + Imidacloprid 11.01% w/w SC","Skin irritation, nausea.",Neurotoxic potential; allergic reactions possible.
"Spirotetrama t 15.31%
 w/w OD","Skin irritation, headaches.",Low systemic toxicity
Imidacloprid 21% w/w + Beta cyfluthrin 10.5% w/w SC,"Nausea, dizziness, skin irritation.",Neurotoxic effects
"Flubendiamid e 19.92% +
 Thiacloprid 19.92% ww SC","Skin irritation, nausea.",Low toxicity
"Fluopyram 17.7% w/w + Tebuconazol e 17.7% SC
 w/w","Skin irritation, headaches.",Liver toxicity with chronic exposure; potential endocrine disruptor.
Penflufen 22.43% w/w FS,"Skin irritation, dizziness.",Low toxicity
"Penflufen 13.28% +
 Trifloxystrobi n 13.28%
 w/w FS","Skin irritation, nausea, headaches.",Low systemic toxicity;
Fluopyram 34.48% w/w SC,"Skin irritation, dizziness, headaches.",Potential endocrine disruptor; generally low toxicity.
"Fluopicolide 5.56% w/w + Propamocarb
 Hydrochlorid e 55.6% w/w SC","Skin irritation, respiratory issues",Low toxicity
"Triafamone 20% +
 Ethoxysulfur on 10% WG","Skin irritation, nausea",Limited systemic toxicity; may cause allergic reactions.
Ethoxysulfur on15% WDG,"Skin irritation, headaches.",low toxicity
Flupyradifuro n 17.9% w/w SL,"Skin and eye irritation, headaches.",eurotoxic potential; low systemic toxicity.
DINOTEFURA N 20% SG,"Nausea, dizziness, skin irritation.",Neurotoxic; potential reproductive effects.
PROPINEB 70% W.P,"Skin irritation, respiratory distress.",low toxicity; may cause allergic reactions.
FLUBENDIAM IDE 39.35% SC,"Skin and eye irritation, headaches.",Low toxicity
TEBUCONAZ OLE 25.9% EC,"Skin irritation, nausea.",Potential liver damage with chronic exposure.
THIODICARB 75% W.P,"Nausea, vomiting, headaches.",Cholinergic symptoms; possible neurotoxicity.
OXADIARGYL 80% W.P,"Skin irritation, respiratory discomfort.",low toxicity
FENOXAPRO P-P-ETHYL 9.3% EC,"Skin irritation, headaches.",Low toxicity
"PIROXOFOP- PROPINYL(Cl
 odinafop- propargyl) 15% W.P.","Skin irritation, nausea.",low toxicity
TEBUCONAZ OLE 2% DS,"Skin irritation, nausea.",liver damage with chronic use.
THIACLOPRID 21.7% SC,"Skin irritation, nausea, headaches.",Neurotoxic; potential reproductive effects.
SPIROMESIFE N 22.9% W/W SC,"Skin irritation, respiratory discomfort.",Low systemic toxicity
BISPYRIBAC SODIUM 10% SC,Skin and eye irritation.,ow toxicity
Acetamiprid- 20% SP,"Nausea, dizziness, skin irritation.",Neurotoxic
"2,4-D amine Salt 58% S.L.","Skin irritation, nausea, headaches.",reproductive and developmental effects
"2,4-D Ethyl Ester 38% E.C.","Skin irritation, nausea, headaches.",reproductive and developmental effects
"Captan 70%
 +
 Hexaconazol e 5 % WP","Skin irritation, nausea, respiratory issues",iver damage; may cause allergic reactions.
Chlorimuron Ethyl 25% WP,Skin and eye irritation.,low toxicity; limited data on chronic effects.
Clodinofop- Propargyl- 15% WP,"Skin irritation, nausea",low toxicity;
"Deltamethrin 1% +
 Triazophos 35% EC","Nausea, dizziness, skin irritation.",Neurotoxic effects
Fipronil-5% SC,"Nausea, dizziness, skin irritation.",Neurotoxic
Hexaconazol e-5% SC,"Skin irritation, respiratory discomfort.",low toxicity;
Imidachlopri d-17.8% SL,"Headaches, dizziness, skin irritation",ossible chronic neurotoxic effects.
Imidachlopri d-30.5% SC,"Headaches, dizziness, nausea, vomiting, muscle tremors.",affect the nervous system
Lambda Cyhalothrin- 5% EC,"Skin irritation, respiratory distress, headaches.","Neurotoxicity, particularly in cases of high exposure."
Lambdacyhal othrin-4.9% Capsule Suspension,"Cholinesterase inhibition, nausea, sweating, muscle twitching",severe poisoning; affects the nervous system.
Metribuzin- 70% WP,"Mild skin irritation, potential allergic reactions.",skin sensitization.
Metsulfuron Methyl-20% WP,"Skin and eye irritation, respiratory issues.",effects on the liver and kidneys.
Oxyflourfen 23.5% EC,"Irritation of skin, eyes, and respiratory tract.",Possible carcinogenic effects; risks from prolonged exposure.
Paraquate Dichloride- 24% SL,"Severe respiratory distress, pulmonary edema, nausea.",Highly toxic
Pendimethali ne-30% EC,"Skin and eye irritation, respiratory issues.",Possible carcinogenic effects with prolonged exposure
Pretilachlor- 50% EC,"Skin irritation, nausea, respiratory discomfort.",Liver and kidney effects in cases of high exposure.
Profenofos- 40%+Cyperm ethrin-4% EC,"Cholinesterase inhibition, headaches, sweating, nausea.",Severe poisoning can occur; neurotoxic effects.
Profenophos- 50% EC,"Skin irritation, headaches, nausea.",Potential liver damage with chronic exposure.
Propiconazol e-25% EC,"Skin irritation, headaches, nausea.",Potential liver damage with chronic exposure.
"Sulfosulfuron
 -75% WG",Mild skin and eye irritation.,Limited systemic toxicity; effects may vary.
Sulphur-80% WDG,"Skin irritation, respiratory issues",respiratory discomfort.
Tebuconazol e-25.9% EC,"Skin rashes, headaches, respiratory issues.",Potential endocrine disruption with long-term exposure.
Thiamethoxa m-25% WG,"Headaches, dizziness, nausea.","neurotoxic effects,"
Triazophos- 40% EC,"Nausea, vomiting, diarrhea, respiratory distress.",Neurotoxic effects;
Tricyclazole- 75% WP,"Skin irritation, headaches.",Limited systemic effects
Validamycin- 3% L,Minimal systemic toxicity; possible skin irritation.,Generally low risk for humans.
Sulphur-80% WP,"Skin irritation, respiratory issues",respiratory discomfort.
Azoxystorbin 23% SC,"Mild skin and eye irritation, headaches.",affect liver
"Azoxystorbin 11% +
 Tebuconazol e 18.3% w/w SC","Mild skin and eye irritation, headaches.",affect liver
Azoxystorbin 18.2% w/w + Difenoconaz ole 11.4% w/w SC,"Mild skin and eye irritation, headaches.",affect liver
"Buprofenzin 15% +
 Acephate 35% WP","Skin irritation, nausea.",Neurotoxic effects
Bifenthrin 10%EC w/w,"Skin irritation, headaches, dizziness",Neurotoxic effects
Butachlor 5% granules,"kin and eye irritation, respiratory issues.",Potential liver damage
Captan 70%+Hexaco nazole 5% WP,"Skin and eye irritation, nausea",Generally low toxicity
Chlorimuron Ethyl-25% WP,Mild skin and eye irritation.,Low systemic toxicity
Chlorpyripho s 20% E.C,"Nausea, headaches, dizziness, respiratory issues.",Neurotoxic effects
"Chlorpyripho s 50% +
 Cypermethri n 5% EC","Nausea, headaches, dizziness, respiratory issues.",Neurotoxic effects
Diafenthiuro n-50% WP,"Skin irritation, headaches",Generally low toxicity
Fenobucarb (B.P.M.C.) 50% EC,"Nausea, excessive salivation, sweating.",Cholinergic symptoms; potential neurotoxicity.
Imidacloprid 30.5% S.C.,"Headaches, dizziness, muscle tremors.",Possible chronic neurotoxic effects.
Lambda- cyhalothrin 4.9%Capsule Suspension,"Skin irritation, respiratory distress, headaches.",Neurotoxic
Metribuzin 70% W.P,"Skin irritation, respiratory discomfort.",Potential liver and kidney damage with high exposure.
Metsulfuron Methyl 20% W.P.,Skin and eye irritation.,Generally low risk
Oxyfluorfen 23.5% EC,Skin and eye irritation,Low systemic toxicity;
Pendimethali n 30% E.C.,"Skin and eye irritation, respiratory issues.",Possible carcinogenic effects with prolonged exposure.
Piroxofop Propinyl (Clodinafop Propargyl) 15% WP,"Skin irritation, nausea.",Generally low toxicity
Pretilachlor 50% E.C,"Skin irritation, nausea, respiratory discomfort.",Potential liver and kidney effects with high exposure.
"Profenofos 40% +
 Cypermethri n 4% EC","Nausea, sweating, headaches.",Severe poisoning can occur; neurotoxic effects.
Propiconazol e 25% E.C.,"Skin irritation, headaches, nausea.",Potential liver damage with chronic exposure.
"Tebuconazol e 10%+
 Sulphur 65% WG","Skin rashes, respiratory issues.",Potential endocrine disruption with long-term exposure.
Thiophanate Methyl-70% WP,Skin and eye irritation.,Low toxicity; potential reproductive effects with long-term exposure.
Tricyclazole 75% W.P.,"Skin irritation, headaches.",Limited systemic effects
Metsulfuron Methyl 10% w/w + Chlorimuron Ethyl 10% WP,"Skin irritation, nausea.",low risk; effects may vary based on sensitivity.
Thifluzamide 24% SC,Mild skin irritation.,Generally low toxicity; limited data on chronic effects.
"Novaluron 5.25% +
 Indoxacarb 4.5% w/w SC","Skin irritation, nausea.",Generally low toxicity
"Azoxystrobin 8.3% +
 Mancozeb 66.7% WG","Mild skin irritation, headaches.",Long-term exposure may affect liver function.
"Pendimethali n 30% +
 Imazethapyr 2% EC","Skin irritation, respiratory issues.",Possible carcinogenic effects with prolonged exposure.
"Fenobucarb (BPMC) 20%
 + Buprofezin 5% SE","Skin irritation, nausea.",Potential neurotoxicity from fenobucarb; may cause allergic reactions.
"Emamectin Benzoate 1.5% +
 Fipronil 3.5% SCÃ‚Â","Nausea, headaches, dizziness, skin irritation",Neurotoxic effects
"Tebuconazol e 6.7% +
 Captan 26.9% w/w SC","Skin irritation, respiratory discomfort, headaches.",otential liver damage and allergic reactions
Pyriproxyfen 10% EC,"Mild skin irritation, headaches.",Generally low toxicity
"Pyriproxifen 5% +
 Diafenthiuro n 25% SE","Skin irritation, nausea",Low systemic toxicity
Quizalofop- Ethyl 5% w/w EC,"Skin and eye irritation, headaches.",Generally low risk
